obs,personid,psu,hhld,id,sex,age,marital,ctzship,current_school,grade_comp,subject_training,need_train_more,mwrk_nsco1,mwrk_nsco4,mwrk_status,mwrk_cnrt_type,mwrk_nsic1,mwrk_nsic4,mwrk_orgtype,mwrk_enttype,mwrk_empnum,mwrk_tenure_envlv,usulhr_mwrk,prd_remu,amt_cashrs,rcvd_kind,faci_mktval,faci_paidval,hhsize,province,urbrur753,season,male,nevermarried,urban,educ,educ1,wage_daily,logwage_daily,avg_exp,avg_exp1,sq_avg_exp
3434,11310601,1131,6,1,Male,32,Never married,Nepalese,No,Class 7,,No,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Don?t know,10-19 persons,1 year - 3 years,56,Daily,500,No,,,3,1,Rural,Winter Season,1,1,0,7,7.5,500,6.2146082,1,1.5,2.25
3435,12391701,1239,17,1,Male,37,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,5-9 persons,10 years or more,42,Daily,500,No,,,6,2,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3436,15210901,1521,9,1,Male,48,Married,Nepalese,,Class 4,"Agriculture, animal husbandry",No,G,Field crop and vegetable growers,Employee,Temporary,A," Growing of vegetables and melons, roots and tubers",,Private business,2-4 persons,10 years or more,43,Daily,500,No,14000,,4,4,Urban,Winter Season,1,0,1,4,4.5,500,6.2146082,10,10.5,110.25
3437,16080401,1608,4,1,Male,51,Married,Nepalese,,Class 10,,No,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,10 years or more,30,Daily,500,No,,,2,5,Urban,Dry Season,1,0,1,10,10.5,500,6.2146082,10,10.5,110.25
3438,18621001,1862,10,1,Male,41,Married,Nepalese,,Class 9,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,3 years - 5 years,56,Daily,500,No,,,4,7,Urban,Winter Season,1,0,1,9,9.5,500,6.2146082,3,3.5,12.25
3439,18621103,1862,11,3,Male,18,Never married,Nepalese,No,Class 7,,Yes,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Don?t know,10-19 persons,Less than 6 months,56,Daily,500,No,,,4,7,Urban,Winter Season,1,1,1,7,7.5,500,6.2146082,0,0.5,0.25
3440,15012005,1501,20,5,Male,17,Never married,Nepalese,Yes,Class 12 and Intermediate,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,1 person,3 years - 5 years,35,Daily,500,No,,,8,4,Rural,Winter Season,1,1,0,12,12.5,500,6.2146082,3,3.5,12.25
3441,15211402,1521,14,2,Male,18,Married,Nepalese,No,Class 10,,Yes,J,Forestry labourers,Employee,Temporary,A,Silviculture and other forestr y activities,,Private business,5-9 persons,Less than 6 months,28,Daily,500,No,11000,,5,4,Urban,Winter Season,1,0,1,10,10.5,500,6.2146082,0,0.5,0.25
3442,18651403,1865,14,3,Male,25,Married,Nepalese,No,Class 10,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,6 months - 1 year,48,Daily,500,No,,,6,7,Urban,Dry Season,1,0,1,10,10.5,500,6.2146082,0.5,1,1
3443,11601503,1160,15,3,Male,24,Married,Nepalese,No,Class 6,,No,J,Building construction labourers,Employee,Temporary,F,Construction of roads and railways,,Private business,5-9 persons,5 years - 10 years,64,Daily,500,No,,,6,2,Urban,Rainy Season,1,0,1,6,6.5,500,6.2146082,5,5.5,30.25
3444,18652003,1865,20,3,Male,19,Married,Nepalese,No,Class 8,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,6 months - 1 year,40,Daily,500,No,,,16,7,Urban,Dry Season,1,0,1,8,8.5,500,6.2146082,0.5,1,1
3445,18801601,1880,16,1,Male,49,Married,Nepalese,,Class 6,,Yes,J,Mining and quarrying labourers,Employee,Temporary,B," Quarr ying of stone, sand and clay",,Private business,5-9 persons,Less than 6 months,48,Daily,500,No,,,6,7,Rural,Rainy Season,1,0,0,6,6.5,500,6.2146082,0,0.5,0.25
3446,15910801,1591,8,1,Male,38,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,10 years or more,63,Daily,500,No,,,4,5,Rural,Dry Season,1,0,0,0,0.5,500,6.2146082,10,10.5,110.25
3447,18711302,1871,13,2,Male,42,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,1 person,Less than 6 months,28,Daily,500,No,,,5,7,Urban,Winter Season,1,0,1,0,0.5,500,6.2146082,0,0.5,0.25
3448,10221601,1022,16,1,Male,40,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,1 person,10 years or more,42,Daily,500,No,13000,,5,1,Rural,Rainy Season,1,0,0,0,0.5,500,6.2146082,10,10.5,110.25
3449,15850801,1585,8,1,Male,45,Married,Nepalese,,Class 4,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,5 years - 10 years,56,Daily,500,No,,,3,5,Urban,Winter Season,1,0,1,4,4.5,500,6.2146082,5,5.5,30.25
3450,15791701,1579,17,1,Male,33,Married,Nepalese,No,Class 7,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,20 persons and more,1 year - 3 years,56,Daily,500,No,,,5,5,Urban,Dry Season,1,0,1,7,7.5,500,6.2146082,1,1.5,2.25
3451,15641603,1564,16,3,Male,23,Married,Nepalese,No,Class 2,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,1 year - 3 years,63,Daily,500,No,,,8,5,Rural,Dry Season,1,0,0,2,2.5,500,6.2146082,1,1.5,2.25
3452,14131804,1413,18,4,Female,14,Never married,Nepalese,Yes,Class 9,,Yes,G,Subsistence crop farmers,Employee,Temporary,A,Growing of rice,,Private business,2-4 persons,Less than 6 months,40,Daily,500,No,,,5,4,Rural,Rainy Season,0,1,0,9,9.5,500,6.2146082,0,0.5,0.25
3453,16232003,1623,20,3,Male,30,Married,Nepalese,No,Class 5,,No,H,Bricklayers and related workers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,5 years - 10 years,48,Daily,500,No,,,7,5,Urban,Rainy Season,1,0,1,5,5.5,500,6.2146082,5,5.5,30.25
3454,11661502,1166,15,2,Female,44,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,3 years - 5 years,48,Daily,500,No,,,5,2,Rural,Rainy Season,0,0,0,0,0.5,500,6.2146082,3,3.5,12.25
3455,18601702,1860,17,2,Male,27,Married,Nepalese,No,Class 2,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,1 year - 3 years,52,Daily,500,No,,,6,7,Urban,Winter Season,1,0,1,2,2.5,500,6.2146082,1,1.5,2.25
3456,11711503,1171,15,3,Male,19,Never married,Nepalese,No,Class 8,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,1 year - 3 years,28,Daily,500,No,,,6,2,Urban,Winter Season,1,1,1,8,8.5,500,6.2146082,1,1.5,2.25
3457,10361201,1036,12,1,Male,35,Married,Nepalese,No,Class 8,,No,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,10 years or more,56,Daily,500,No,,,4,1,Urban,Winter Season,1,0,1,8,8.5,500,6.2146082,10,10.5,110.25
3458,15541101,1554,11,1,Male,28,Married,Nepalese,No,Class 5,,Yes,I,Heavy truck and lorry drivers,Employee,Temporary,H,Other passenger land transpor t,,Private business,2-4 persons,6 months - 1 year,40,Daily,500,No,,,4,4,Urban,Rainy Season,1,0,1,5,5.5,500,6.2146082,0.5,1,1
3459,10461101,1046,11,1,Male,36,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Freight handlers,Employee,Temporary,C,Manufacture of veneer sheets and wood-based panels,Private nonfinancial institution,Private business,20 persons and more,6 months - 1 year,72,Daily,500,No,,,4,1,Urban,Rainy Season,1,0,1,0,0.5,500,6.2146082,0.5,1,1
3460,14251703,1425,17,3,Female,26,Married,Nepalese,No,Class 6,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,5-9 persons,5 years - 10 years,15,Daily,500,No,,,5,4,Urban,Rainy Season,0,0,1,6,6.5,500,6.2146082,5,5.5,30.25
3461,18231302,1823,13,2,Male,60,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,3 years - 5 years,48,Daily,500,No,,,5,7,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,3,3.5,12.25
3462,12901302,1290,13,2,Male,29,Married,Nepalese,No,SLC and equiv.,,No,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Construction of buildings,,Don?t know,1 person,Less than 6 months,60,Daily,500,No,,,4,3,Rural,Winter Season,1,0,0,11,11.5,500,6.2146082,0,0.5,0.25
3463,16590603,1659,6,3,Female,18,Never married,Nepalese,No,Class 5,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,1 year - 3 years,56,Daily,500,No,,,3,5,Urban,Dry Season,0,1,1,5,5.5,500,6.2146082,1,1.5,2.25
3464,17611902,1761,19,2,Female,30,Married,Nepalese,No,Nursery/LKG/UKG,"Agriculture, animal husbandry",Yes,J,Mining and quarrying labourers,Employee,Temporary,B," Quarr ying of stone, sand and clay",,Private business,2-4 persons,Less than 6 months,56,Daily,500,No,,,7,6,Rural,Rainy Season,0,0,0,0,0.5,500,6.2146082,0,0.5,0.25
3465,15841701,1584,17,1,Female,25,Married,Nepalese,No,Class 4,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,1 year - 3 years,48,Daily,500,No,,,4,5,Urban,Dry Season,0,0,1,4,4.5,500,6.2146082,1,1.5,2.25
3466,10461403,1046,14,3,Male,22,Married,Nepalese,No,Class 8,,No,J,Building construction labourers,Employee,Temporary,C,Manufacture of structural metal products,,Private business,2-4 persons,Less than 6 months,56,Daily,500,No,,,5,1,Urban,Rainy Season,1,0,1,8,8.5,500,6.2146082,0,0.5,0.25
3467,11811501,1181,15,1,Male,46,Single woman/man,Nepalese,,Nursery/LKG/UKG,,Yes,J,Livestock farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,10 years or more,43,Daily,500,No,,,6,2,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3468,16231704,1623,17,4,Male,27,Never married,Nepalese,No,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,1 person,5 years - 10 years,40,Daily,500,No,,,5,5,Urban,Rainy Season,1,1,1,0,0.5,500,6.2146082,5,5.5,30.25
3469,12750801,1275,8,1,Male,50,Married,Nepalese,,Class 4,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of rice,,Private business,2-4 persons,Less than 6 months,42,Daily,500,No,,,3,3,Urban,Winter Season,1,0,1,4,4.5,500,6.2146082,0,0.5,0.25
3470,15350401,1535,4,1,Male,25,Married,Nepalese,No,Class 5,,Yes,G,Subsistence crop farmers,Employee,Temporary,A,Mixed farming ,,Don?t know,10-19 persons,Less than 6 months,48,Daily,500,No,,,2,5,Rural,Rainy Season,1,0,0,5,5.5,500,6.2146082,0,0.5,0.25
3471,11520901,1152,9,1,Male,52,Married,Nepalese,,Class 5,,Yes,J,Civil engineering labourers,Employee,Temporary,F,Construction of roads and railways,,Private business,20 persons and more,10 years or more,42,Daily,500,No,,,4,1,Urban,Winter Season,1,0,1,5,5.5,500,6.2146082,10,10.5,110.25
3472,16021603,1602,16,3,Male,18,Married,Nepalese,No,Class 8,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,Less than 6 months,56,Daily,500,No,,,5,5,Urban,Dry Season,1,0,1,8,8.5,500,6.2146082,0,0.5,0.25
3473,12480501,1248,5,1,Male,25,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,10 years or more,56,Daily,500,Yes,,,3,2,Rural,Rainy Season,1,0,0,0,0.5,500,6.2146082,10,10.5,110.25
3474,17982003,1798,20,3,Male,32,Married,Nepalese,No,Class 5,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,6 months - 1 year,48,Daily,500,No,,,9,7,Rural,Dry Season,1,0,0,5,5.5,500,6.2146082,0.5,1,1
3475,12362005,1236,20,5,Male,24,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Mining and quarrying labourers,Employee,Temporary,B," Quarr ying of stone, sand and clay",,Private business,2-4 persons,3 years - 5 years,70,Daily,500,No,,,11,2,Urban,Winter Season,1,0,1,0,0.5,500,6.2146082,3,3.5,12.25
3476,10261402,1026,14,2,Male,35,Married,Nepalese,No,Nursery/LKG/UKG,,No,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Construction of buildings,,Don?t know,10-19 persons,10 years or more,48,Daily,500,No,,,4,1,Urban,Rainy Season,1,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3477,16421503,1642,15,3,Male,17,Never married,Nepalese,No,Class 5,,Yes,J,Freight handlers,Employee,Temporary,C,Manufacture of clay building materials,Private nonfinancial institution,An incorporated company,,3 years - 5 years,84,Daily,500,No,,,6,5,Rural,Rainy Season,1,1,0,5,5.5,500,6.2146082,3,3.5,12.25
3478,10991203,1099,12,3,Male,18,Never married,Nepalese,No,Class 3,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,1 year - 3 years,63,Daily,500,No,35000,,6,1,Rural,Winter Season,1,1,0,3,3.5,500,6.2146082,1,1.5,2.25
3479,10241902,1024,19,2,Male,20,Never married,Nepalese,No,Class 10,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of roads and railways,,Private business,10-19 persons,3 years - 5 years,56,Daily,500,No,36000,,6,1,Urban,Dry Season,1,1,1,10,10.5,500,6.2146082,3,3.5,12.25
3480,18420501,1842,5,1,Male,24,Married,Nepalese,No,Class 6,,Yes,J,Civil engineering labourers,Employee,Temporary,A,Silviculture and other forestr y activities,,Don?t know,2-4 persons,Less than 6 months,56,Daily,500,No,50000,,3,7,Rural,Rainy Season,1,0,0,6,6.5,500,6.2146082,0,0.5,0.25
3481,12740904,1274,9,4,Male,26,Never married,Nepalese,No,Class 10,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,Less than 6 months,56,Daily,500,No,,,3,3,Rural,Dry Season,1,1,0,10,10.5,500,6.2146082,0,0.5,0.25
3482,17400701,1740,7,1,Male,35,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,1 person,1 year - 3 years,42,Daily,500,No,,,4,6,Urban,Rainy Season,1,0,1,0,0.5,500,6.2146082,1,1.5,2.25
3483,11751205,1175,12,5,Male,14,Never married,Nepalese,No,Class 3,,No,J,Crop farm labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,Less than 6 months,56,Daily,500,No,,,5,2,Urban,Rainy Season,1,1,1,3,3.5,500,6.2146082,0,0.5,0.25
3484,10891403,1089,14,3,Male,18,Never married,Nepalese,No,Class 10,,Yes,J,Building construction labourers,Employee,Temporary,H,Other transportation support activities,,Private business,5-9 persons,6 months - 1 year,48,Daily,500,No,,,5,1,Urban,Winter Season,1,1,1,10,10.5,500,6.2146082,0.5,1,1
3485,12181001,1218,10,1,Male,43,Married,Nepalese,,Class 2,,Yes,H,Woodworking-machine tool setters and operators,Employee,Temporary,C,Sawmilling and planing of wood,,Don?t know,5-9 persons,3 years - 5 years,72,Daily,500,No,,,5,2,Urban,Rainy Season,1,0,1,2,2.5,500,6.2146082,3,3.5,12.25
3486,16800401,1680,4,1,Male,47,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,10 years or more,56,Daily,500,No,,,3,6,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3487,18690901,1869,9,1,Male,42,Married,Nepalese,,Class 10,,Yes,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Building completion and finishing,,Don?t know,1 person,5 years - 10 years,30,Daily,500,No,,,5,7,Urban,Rainy Season,1,0,1,10,10.5,500,6.2146082,5,5.5,30.25
3488,18491203,1849,12,3,Male,21,Never married,Nepalese,No,SLC and equiv.,,No,H,Painters and related workers,Employee,Temporary,F,Building completion and finishing,,Private business,2-4 persons,1 year - 3 years,42,Daily,500,No,,,5,7,Urban,Rainy Season,1,1,1,11,11.5,500,6.2146082,1,1.5,2.25
3489,10351004,1035,10,4,Male,28,Never married,Nepalese,No,Class 4,Driving skills and motor vehicle operation,No,I,Bus and tram drivers,Employee,Temporary,H,Urban and suburban passenger land transport,Other,Private business,2-4 persons,3 years - 5 years,48,Daily,500,No,81000,,4,1,Urban,Dry Season,1,1,1,4,4.5,500,6.2146082,3,3.5,12.25
3490,10442003,1044,20,3,Male,28,Married,Nepalese,Yes,Class 8,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,6 months - 1 year,48,Daily,500,No,,,8,1,Urban,Rainy Season,1,0,1,8,8.5,500,6.2146082,0.5,1,1
3491,12312010,1231,20,10,Male,39,Married,Nepalese,No,Class 4,,Yes,H,Carpenters and joiners,Employee,Temporary,C,Manufacture of furniture,,Private business,2-4 persons,10 years or more,56,Daily,500,No,,,14,2,Rural,Rainy Season,1,0,0,4,4.5,500,6.2146082,10,10.5,110.25
3492,11720903,1172,9,3,Female,16,Never married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A," Growing of cereals (except rice), leguminous crops and oil ",,Private business,2-4 persons,Less than 6 months,12,Daily,500,No,,,5,2,Urban,Dry Season,0,1,1,0,0.5,500,6.2146082,0,0.5,0.25
3493,11730901,1173,9,1,Female,33,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,Less than 6 months,56,Daily,500,No,,,4,2,Rural,Rainy Season,0,0,0,0,0.5,500,6.2146082,0,0.5,0.25
3494,18410201,1841,2,1,Male,60,Married,Nepalese,,Nursery/LKG/UKG,,No,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Building completion and finishing,,Private business,5-9 persons,1 year - 3 years,41,Daily,500,No,,,2,7,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,1,1.5,2.25
3495,11661501,1166,15,1,Male,45,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Freight handlers,Employee,Temporary,H,Freight transport by road,,Private business,2-4 persons,3 years - 5 years,48,Daily,500,No,,,5,2,Rural,Rainy Season,1,0,0,0,0.5,500,6.2146082,3,3.5,12.25
3496,10692003,1069,20,3,Male,19,Never married,Nepalese,No,SLC and equiv.,,Yes,J,Crop farm labourers,Employee,Temporary,A,Growing of fibre crops,,Private business,2-4 persons,Less than 6 months,35,Daily,500,No,,,7,1,Urban,Rainy Season,1,1,1,11,11.5,500,6.2146082,0,0.5,0.25
3497,11341501,1134,15,1,Female,34,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,Less than 6 months,49,Daily,500,No,,,5,1,Urban,Dry Season,0,0,1,0,0.5,500,6.2146082,0,0.5,0.25
3498,17181501,1718,15,1,Male,45,Married,Nepalese,,Class 10,,No,H,Carpenters and joiners,Employee,Temporary,C,Manufacture of builders’ carpentry and joinery,,Private business,2-4 persons,5 years - 10 years,56,Daily,500,No,,,5,6,Urban,Winter Season,1,0,1,10,10.5,500,6.2146082,5,5.5,30.25
3499,12061704,1206,17,4,Female,40,Married,Nepalese,No,Class 6,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,36,Daily,500,Yes,,,6,2,Urban,Rainy Season,0,0,1,6,6.5,500,6.2146082,0,0.5,0.25
3500,14211705,1421,17,5,Female,42,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,10 years or more,56,Daily,500,No,,,5,4,Urban,Winter Season,0,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3501,18481501,1848,15,1,Male,41,Married,Nepalese,,Nursery/LKG/UKG,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,5 years - 10 years,48,Daily,500,No,,,5,7,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,5,5.5,30.25
3502,10931903,1093,19,3,Male,40,Married,Nepalese,No,SLC and equiv.,,Yes,H,Painters and related workers,Employee,Temporary,F,Building completion and finishing,,Don?t know,2-4 persons,5 years - 10 years,56,Daily,500,No,,,6,1,Urban,Winter Season,1,0,1,11,11.5,500,6.2146082,5,5.5,30.25
3503,17821801,1782,18,1,Male,44,Married,Nepalese,,Class 4,,No,J,Freight handlers,Employee,Temporary,S,Other personal service activities n.e.c.,,Don?t know,1 person,5 years - 10 years,32,Daily,500,No,,,7,7,Urban,Winter Season,1,0,1,4,4.5,500,6.2146082,5,5.5,30.25
3504,14961702,1496,17,2,Male,41,Married,Nepalese,,SLC and equiv.,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Short term accommodation activities,Private nonfinancial institution,Private business,2-4 persons,5 years - 10 years,56,Daily,500,No,36000,,5,4,Urban,Winter Season,1,0,1,11,11.5,500,6.2146082,5,5.5,30.25
3505,18651404,1865,14,4,Female,22,Married,Nepalese,No,SLC and equiv.,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,6 months - 1 year,40,Daily,500,No,,,6,7,Urban,Dry Season,0,0,1,11,11.5,500,6.2146082,0.5,1,1
3506,11811303,1181,13,3,Male,22,Married,Nepalese,No,Class 4,,Yes,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,3 years - 5 years,56,Daily,500,No,,,5,2,Urban,Dry Season,1,0,1,4,4.5,500,6.2146082,3,3.5,12.25
3507,11771705,1177,17,5,Male,16,Never married,Nepalese,No,Class 9,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,1 year - 3 years,56,Daily,500,No,,,7,2,Urban,Dry Season,1,1,1,9,9.5,500,6.2146082,1,1.5,2.25
3508,14071406,1407,14,6,Female,62,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,G,Poultry producers,Employee,Temporary,A,Raising of sheep and goats,,Private business,2-4 persons,10 years or more,42,Daily,500,No,,,6,3,Urban,Rainy Season,0,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3509,12621401,1262,14,1,Male,31,Married,Nepalese,No,Class 5,Driving skills and motor vehicle operation,Yes,J,Civil engineering labourers,Employee,Temporary,F,Construction of roads and railways,,Private business,10-19 persons,Less than 6 months,56,Daily,500,No,,,6,3,Rural,Rainy Season,1,0,0,5,5.5,500,6.2146082,0,0.5,0.25
3510,17070702,1707,7,2,Female,33,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Don?t know,5-9 persons,1 year - 3 years,56,Daily,500,No,,,4,6,Urban,Rainy Season,0,0,1,0,0.5,500,6.2146082,1,1.5,2.25
3511,11311803,1131,18,3,Male,20,Married,Nepalese,No,SLC and equiv.,,Yes,J,Forestry labourers,Employee,Temporary,A,Logging,,Private business,5-9 persons,6 months - 1 year,56,Daily,500,No,,,7,1,Rural,Winter Season,1,0,0,11,11.5,500,6.2146082,0.5,1,1
3512,15711605,1571,16,5,Male,33,Never married,Nepalese,No,Class 4,,Yes,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Don?t know,10-19 persons,3 years - 5 years,56,Daily,500,No,,,7,5,Rural,Rainy Season,1,1,0,4,4.5,500,6.2146082,3,3.5,12.25
3513,15581403,1558,14,3,Male,23,Never married,Nepalese,No,Class 5,,No,J,Freight handlers,Employee,Temporary,H,Freight transport by road,,Don?t know,2-4 persons,3 years - 5 years,35,Daily,500,No,,,5,4,Urban,Dry Season,1,1,1,5,5.5,500,6.2146082,3,3.5,12.25
3514,12481302,1248,13,2,Female,33,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,10 years or more,48,Daily,500,No,,,5,2,Rural,Rainy Season,0,0,0,0,0.5,500,6.2146082,10,10.5,110.25
3515,10021501,1002,15,1,Male,49,Married,Nepalese,,Class 10,,No,H," Stonemasons, stone cutters, splitters and carvers",Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,Less than 6 months,70,Daily,500,No,,,5,1,Rural,Dry Season,1,0,0,10,10.5,500,6.2146082,0,0.5,0.25
3516,11580801,1158,8,1,Male,26,Married,Nepalese,No,Class 2,,No,J,Freight handlers,Employee,Temporary,H,Freight transport by road,,Private business,5-9 persons,1 year - 3 years,48,Daily,500,No,,,5,2,Rural,Dry Season,1,0,0,2,2.5,500,6.2146082,1,1.5,2.25
3517,12400401,1240,4,1,Male,60,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Building construction labourers,Employee,Temporary,F,Construction of buildings,,Private business,5-9 persons,10 years or more,56,Daily,500,No,9000,,3,2,Urban,Dry Season,1,0,1,0,0.5,500,6.2146082,10,10.5,110.25
3518,18761601,1876,16,1,Male,30,Married,Nepalese,No,Class 7,,Yes,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,C," Manufacture of articles of concrete, cement and plaster",,Don?t know,5-9 persons,Less than 6 months,48,Daily,500,No,,,6,7,Rural,Winter Season,1,0,0,7,7.5,500,6.2146082,0,0.5,0.25
3519,10350903,1035,9,3,Male,19,Never married,Nepalese,No,Class 7,,Yes,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Construction of roads and railways,,Private business,5-9 persons,1 year - 3 years,56,Daily,500,No,,,4,1,Urban,Dry Season,1,1,1,7,7.5,500,6.2146082,1,1.5,2.25
3520,18401803,1840,18,3,Male,29,Married,Nepalese,No,Class 5,,No,H," Concrete placers, concrete finishers and related workers",Employee,Temporary,F,Construction of buildings,,Private business,2-4 persons,3 years - 5 years,56,Daily,500,No,,,6,7,Urban,Dry Season,1,0,1,5,5.5,500,6.2146082,3,3.5,12.25
3521,14881601,1488,16,1,Male,32,Married,Nepalese,No,Class 3,,Yes,F,Transport conductors,Employee,Temporary,H,Urban and suburban passenger land transport,Private nonfinancial institution,Private business,2-4 persons,10 years or more,84,Daily,500,No,,,5,4,Urban,Dry Season,1,0,1,3,3.5,500,6.2146082,10,10.5,110.25
3522,12480302,1248,3,2,Female,44,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,10 years or more,48,Daily,500,No,,,3,2,Rural,Rainy Season,0,0,0,0,0.5,500,6.2146082,10,10.5,110.25
